Retorno,Risco,Sharpe,IFIX,IBOV,IVVB11,BTC,SELIC,min_68,max_68,min_95,max_95,min_997,max_997
0.11430390547053357,0.028767411807160352,-1.2408517932983283,0.06151244845321812,0.0002002981660357398,0.06778192145930487,0.21675593952841665,0.6537493923930247,0.08553649366337321,0.14307131727769393,0.056769081856212864,0.17183872908485426,0.02800167004905252,0.20060614089201462
0.11615089449427385,0.03348069437378246,-1.011003688508688,0.1151735879652953,0.0010411793638103282,0.14482851700883756,0.1270095969527565,0.6119471187093003,0.0826702001204914,0.1496315888680563,0.049189505746708925,0.18311228324183876,0.015708811372926457,0.21659297761562124
0.12395099099970905,0.034360473891364963,-0.7581097129989599,0.09197972641141511,0.03348797954774915,0.06416362881562179,0.1461755133431743,0.6641931518820398,0.08959051710834409,0.158311464891074,0.05523004321697912,0.192671938782439,0.02086956932561415,0.22703241267380395
0.13039706820318864,0.04280701410668002,-0.45793737792499584,0.027538394927388073,0.01261379440115982,0.23308846996054414,0.06361907643780615,0.6631402642731019,0.08759005409650861,0.17320408230986867,0.04478303998982859,0.2160110964165487,0.0019760258831485744,0.2588181105232287
0.130786402260546,0.04594279284823431,-0.41820700371706765,0.018948353172797288,0.01293684349272724,0.2515910279261251,0.06499548184637519,0.6515282935619752,0.08484360941231169,0.17672919510878032,0.03890081656407737,0.22267198795701462,-0.0070419762841569256,0.2686147808052489
0.13140741590569216,0.06006255067803827,-0.3095536883535346,0.021287471292549858,0.017016606045339683,0.3293013286477889,0.04814801627122177,0.5842465777430997,0.07134486522765389,0.19146996658373044,0.011282314549615619,0.25153251726176873,-0.04878023612842264,0.31159506793980696
0.1361399551495843,0.06731197090351013,-0.20590757727601966,0.07842469713668601,0.0824645373109274,0.13564936191048182,0.10910407737517648,0.5943573262667283,0.06882798424607417,0.20345192605309442,0.0015160133425640432,0.2707638969566045,-0.06579595756094608,0.3380758678601147
0.13652593572488853,0.0696526501877869,-0.1934465413560682,0.029537604096353805,0.074127884562761,0.1991140591314046,0.12517913948736664,0.572041312722114,0.06687328553710163,0.2061785859126754,-0.002779364650685262,0.27583123610046234,-0.07243201483847217,0.3454838862882492
0.14107710893325598,0.07080596332327142,-0.12601892055342429,0.051879566532871325,0.062195750455408295,0.25183159255276505,0.016400341287011264,0.6176927491719442,0.07027114560998456,0.21188307225652742,-0.000534817713286867,0.28268903557979885,-0.07134078103655828,0.35349499890307023
0.1419007889637745,0.09342370448619128,-0.08669331922523596,0.1191745983009852,0.12505780247287004,0.12559739793581948,0.09158330018344497,0.5385869011068802,0.04847708447758323,0.23532449344996578,-0.04494662000860805,0.32874819793615706,-0.1383703244947993,0.4221719024223483
0.14366789572761918,0.09781318353409332,-0.06473671588629694,0.005213837932103122,0.08945161529003923,0.33448240916999095,0.07407540439550116,0.4967767332123655,0.045854712193525854,0.2414810792617125,-0.05195847134056747,0.3392942627958058,-0.14977165487466082,0.4371074463298992
0.14422275473002202,0.10087722728525667,-0.05727006407146088,0.058431400135634776,0.11829506571051952,0.2344130397343277,0.09220619814997995,0.4966542962695381,0.04334552744476536,0.2450999820152787,-0.05753169984049131,0.3459772093005353,-0.15840892712574797,0.44685443658579205
0.1489154208304401,0.1024973819782945,-0.010581530460842146,0.16232399625108895,0.1459767625363487,0.06252083980540757,0.024292781205920717,0.604885620201234,0.0464180388521456,0.25141280280873457,-0.0560793431261489,0.35391018478702907,-0.1585767251044434,0.45640756676532357
0.1502933392232101,0.12731525848165248,0.0023040382331891997,0.22962377501534573,0.1788562277531072,0.07812974686192603,0.0034361016144823183,0.5099541487551388,0.022978080741557605,0.27760859770486257,-0.10433717774009488,0.40492385618651505,-0.23165243622174736,0.5322391146681675
0.1512695325888529,0.1334515160189749,0.009513062321992592,0.00979410515457679,0.189462500424173,0.14259049444644112,0.22697478076993546,0.4311781192048736,0.017818016569877998,0.28472104860782776,-0.1156334994490969,0.4181725646268027,-0.24908501546807182,0.5516240806457776
0.1530980831442852,0.13351717773490768,0.023203629651581615,0.06505469810677816,0.1567243575334263,0.3021954095753458,0.050687719721661875,0.4253378150627879,0.019580905409377514,0.28661526087919287,-0.11393627232553016,0.42013243861410055,-0.24745345006043784,0.5536496163490082
0.15611362068131165,0.13472289290354375,0.045379226570563404,0.08854354103418667,0.18400270391737833,0.16797629498814706,0.07566733441692156,0.4838101256433663,0.021390727777767904,0.2908365135848554,-0.11333216512577585,0.4255594064883992,-0.24805505802931957,0.5602822993919429
0.17010905304601032,0.1382962561489155,0.1454056212798499,0.013532366936310776,0.20832321068744009,0.04781376550611322,0.07043050061075672,0.6599001562593791,0.03181279689709482,0.3084053091949258,-0.10648345925182068,0.4467015653438413,-0.24477971540073618,0.5849978214927568
0.17129116081793155,0.16489381146989682,0.12912043592259673,0.033105629706773644,0.25251256181362514,0.03802957201514053,0.12899360058185774,0.5473586358826029,0.0063973493480347365,0.3361849722878284,-0.15849646212186208,0.5010787837577252,-0.3233902735917589,0.6659725952276221
